id,text,sentiment
5530ce872f, oh no!  i`m sorry. at least you`ll still be able to buy regular tickets and not worry about limits?,0
59051e4432, discover a whole new beautiful you,1
01818a5856,Thanking god for after elton for allowing me to see the new TW trailer since work blocked youtube and lj,1
0a4f813af2,  no water park today? made me jealous looking at that pic,0
56c95cc7de,"Just came back from hanging out with some friends + cocktails. <3 I`m not drunk, but feeling good.  Hope everyone`s well?",1
20bf40e9ad,http://twitpic.com/4jalj - Morning world. #healthyliving update. Weight this morning 82.1kg (12st 12lbs) Going in right direction,1
32480c3c45, ugh! Tis so warm outside too  unfair! I want to go read and pack!,0
ca0c42f1ed,"I lost 4 followers over night, nobody likes me",0
84a8a4c1a4,I got into a fight with the pavement. I think it won  poor little knee,0
389fae7a27, NICE TO TWEET U,1
7115b4a4b1,"@_Toki_ the wee girl started crying and her mum came on, was such a shame",0
6bdef079c4," im sick  if i wasnt, id be at the show with ya!",0
3afcddc07d,"****, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!",0
1836cc7a3a, b/c you catnapped...cats always have weird dreams,0
e8f2e5bb9d,"Hey Fused Gaming, FusedGaming Forums have been delayed until 9PM PT/12AM ET tonight... sorry   (abean2007 live > http://ustre.am/1ntp)",0
3665218a5f,picture to burn - taylor swift!    great song!,1
2bb759d569,my throat hurts  gonna go read and go to bed. text mee!,0
b4f2077ad6,Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.,0
6ea3693282,I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,1
4b8ae508a9,Has that feeling like when you want to cry but you dont so you get that empty feeling in your stomach and your throat starts to hurt.,0
f1b5074e93," NOOOO I`ll miss you too much!  I went stag to my prom and all the high school and middle school dances, if that helps. >_>",0
40af425098,how sad. last entrance 2cal academy of science was at 4pm. and it was zipcode free day too.,1
7c778c2b1a,thanks everyone for praying for President Aquino.  http://plurk.com/p/rreml,1
ebe4b0856b,i`m so tired,0
fa596e769c,I am finally plugged in to listen to Flashpoints on http//:www.kpfa.org shoutout  and have missed the segment about Chevron,0
7d2f8e5e7a,Had a blood test today.   Wasn`t too bad really. Needed to dash 2 Starbucks after to revive my spirits with a nice Iced latte & a bun.Yum!,1
99e110f2b5, thankyou  how is ur night?,1
de0673a07d,thinks castles are fun,1
efaac7b587,I am so bored.  My homework is done for my master`s program and It`s Friday nite wit nutin to do.,0
2d66998b10,_Inovera Hi Jakki! Thanks for the hug - right back at ya,1
e9a87971b0,i need some hot green tea  I cant sleep  ....,0
11bd62fdf4,Having horrible nightmares not gonna go back to sleep,0
121067760b,I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........,0
252eed6804, happy birthday justin! have a lof of fun!!! God bless,1
6d1e778241," praying you get better soon you sweet one , sorry your still not well",1
53766f5b1a,needs a little lie down. not feeling great today. boo,0
f606bc09eb," good luck chan! gue kmrn bawa backpack kosong, quite helping",1
92a3fdbf42,  o sweet i saw him last year with kenny & sugarland will be with kenny this year.. i have seen them b4... love them.. gknight,1
4f05a05989,Thinks FML should changed to LML (love my life),1
9dd04e1a9f,Its so sad,0
0e3d04ed05," I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",0
dbef1dbef9," just had a look - missed out by a couple of hours, i`m sorry. i`ll let you know next time..",0
dd97ca1de7,This heartburn may be the death of me.,0
f3d0819984, answer my really cool questions,1
9775e37fa8,"Love sundays. Especially when F1 is on!! Still in PJ`s, no plans to get out of them any time soon",1
1b9afa81bf,Waiting for 5:00 & having cramps,0
e5990de03f, I hope it`ll go by as quickly as possible.,1
caa18c44e3,Ohh boy my babys tooth came out !,0
c999fc1166,Ashley= getting sick... Ugh I`m losing my voice! Nooo,0
7022d4bbbc, clearly need to crack the whip some more,0
482fb09240,I wish the sun would shine. but it won`t,0
36e5ad4719,  I told ya`ll I am a good girl. You can see my halo and everything,1
7f8489ad04,"alright, rawknroll.net live on radio23.org - next 2 hours of vivid spring to summer music  rawk on and enjoy!",1
e2de6c4cdd,I didn`t get my q`doba today! sad,0
40b7185d99,"Early Monday,great  Rainy Monday,not so great :|",0
2fecb1e347," sounds good, the one I was too was also fun",1
8877d4155b,The arrival of cargo Red G5 to Toronto has been postponed til tomorrow afternoon.  gonna miss my lil bro`s bday...he`s been waiting 4 me!,0
6aae1e173b, how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot,1
77a7b3282b,_mommy oh  well i hope she gets better,1
42e305ec17," Yeah, that lying in bed thing`s a bugger for blocking creativity  Worse if you`re pinned down by a pet cat, apparently...",0
5e9d3a1778, *bows*  I try...sometimes it is hard,0
55d58bba3f,Wants to meet Jeff Hardy and Beth Britt So bad its Soo Annoying  x x,0
1a674ca5ab,Facebook decided I`m annoying or abusive because I add lots of friends. At least I have no distractions from coursework now...,0
7e786a811c, oh that makes sense! Well you are officially my first  from a celebrity!!,1
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,0
65d3b53efa, welcome home babe!,1
8a7feebc4b, Boring? What?! Ugh!!!  come back to of then!,0
c79ba16b00, good luck with you finals!!!,1
960bbdc0c3,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,1
16b8e23839,forcing myself to watch the movie 1984 for my book report  im lazy to read,0
6af8ecb1b9,  Been there and never at a good time   Your recourse is small claims or you can get a atty involved. But that is more $,0
efad30ddc7, There`s loads of highly qualified stuff  and loads STILL using snail mail.,0
23643d7740,okay the new jonas episode was awesome,1
2a16bf5fb2, There`s nothing good on tonight anyway!!   #Sigjeans,0
1f5f3b2e51, Love the unique accordion thief buffs - thank you!,1
cc0bc2a05d,"_Ichigo She tried to carry on aswell, bless, I suppose maybe that`s why kids shouldn`t be in it?",1
41fded8d64, lol  I`m sure it would be the most kick azz version we`ve ever heard!,1
d4b00ca8b8, I`m so honored to hear my name on a Breezy track  hope u liked my ****! #drunk_bowling,1
1ecbc820d1," yep infact she is popular, miss india 99, talented film actress .... and lot more",1
d0fa123458,had one of the greatest days ever! spent the whole day with besties & celebrated installs with the friends i love oh so much  <3,1
e71d17cb87,"_x Haha, You sound like lizzie :L she`s got a sister who is older than her, and she`s like argh :@ all the time",0
e0808c6999, aww  i guess not that many people are online though...,0
8e6b7e6a01, I love chocolate. Must be PMS,1
5fb49dac18,My mother is taking Gambit to the vet today. I hope it`s nothing too serious.,1
7d97e2b8c6,has a tummy ache.,0
e8a3fb8fd4," Hey, it was a GORGEOUS, day (and night) here, too.  Played in the sun then a full moon lit my way home.    Life is good.",1
b4ab82ff8e,"sociology is done, english and biology left... i`m going to DIE",0
4fa21f6f58, OMG that is toooo funny!,1
6b9c032583, Thanks for making me laugh,1
5d56612b5e,is incredibly worried about Stanley...,0
579f45f637, Thank you! I appreciate that.,1
f1660e689c, thank you! It`s sunny outside so that`s a good start,1
146c706c22,"well,only one week left of my holidays,sad sad",0
6eef9402ec,and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,0
877c212040," yeah, that does sound a bit bad man... i got **** exam week this week",0
333b617776,Tonight was fun. Love my girl Tanna!,1
d26c5ba7ad,Still awake lol Finished talking to a really good Brawl player. We talking in SmashSpace.ning.com  Join the website if you like SSBB!,1
5e3ba74f5f,"_w_a cool, looking forward to it now",1
ec3209161b, no one ever gave me the info I`m sad,0
05d973f42d,"I am back from my weekend getaway! Energized for another week, bring it on! lol",1
46ef091694,"Soon we are going to look at a cabaret, it`s going to be fun!",1
4c1ecef2d1,  I saw you started following me -  Welcome - what do you do in AKL and for whom?,1
3198728163,_Myst I am soooo disappointed that that is what he looks like btw! The image is gone,0
d4fb828af6, hope you have a great day tomorrow!!  happy mothers day!  let us know what you did,1
e0f831f552,: Awesome. Tell me if its good. I might watch it,1
946f23739a, so sad emma  u sad to be leaving the show? ****,0
3f8a34153b, thank you,1
5394086c7e,Happy 11th  I`m going to sleep now lolz,1
fada4f1204, nice to have you back,1
e5ff92f07e,Another two hours of work. Ugh. It goes by so slow. And im sore,0
3373353ca6,is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!,1
25c3c99b1a, I was never a good stereotypical teen,0
5cd4e18051, you`re missing the devil wears prada!!!!! sad...,0
b65aae7c39,"I`m Twitter dumb. Just saw my '.com' & all the kind folks who`ve tweeted me. AH!So sorry, I`m not ignoring you, just SLOW.",0
9566981406, thanks so much! we love fanmail  talk to us anytime,1
48135ccef9,@ work....boyz make me sick..,0
86d15f120f,"Tomorrow`s mother`s day. I need to get all my **** together soon.. Noor left, It was fun  it`s been NINE months!",1
ef4c6bf83e,can`t wait for Daughtry`s new album! Ack. Two more months!!!,1
a2fcd3e2ff, I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!,0
814324ccdc, Happy Mother`s Day to the only mother I have on my list!,1
a21f671687,"Good night all, 15 miles of trails with 7 peeks to climb in the morning, fun times ahead",1
c400a6bf99," alas, I am moving   (like where i`m moving too, but the actual moving, ugh) wish I could go too!",1
1e8a00169a,"gotta buy the second season of  ghost whisperer now, but noo moneyy",0
217f8990f6," you can have the sun too. It all sucks, especially for my pale whiteman skin.   I can`t stop sneezing, and I blame you.",0
ba5fe2e423,The battle at Minas Tirith is still very impressive. Return of the Jedi is the best Lord of the Rings movie IMO.,1
bf932d2533, Happy Mother`s Day hahaha,1
d54d4de7e5,Test another update... sorry for bothering all of u guys,0
3822b1d130," say hi to me, i`m depressed cause i cant see you",0
f83603a1f2, I`m watching it at the moment  -sighs- and straightening my hair which takes hours as my hair is so curly!!,0
bcde062aac,"Watching 'All the Kings Men', It be pretty good so far!",1
d0c2af8892,_Hall Is that why you aint answer my call? Thought we were homies!?,0
c126f1966a,"I need a restful weekend, but I will have to work instead",1
17aeaef146,"Going to be buckling down this week. So, relief for my twitter followers from my inanity. Enjoy my silence.",1
c7aa444de6,At the hospital today then shopping with mom  Love you so much.,1
289dae3ccd, LMAO...but you`ll still have me! I am thoroughly enjoying our conversation,1
336d79d2d0,Good night you twitter people,1
992acf90e5,This is dedicated to all those moms out there - Happy Mother`s Day  ? http://blip.fm/~5z2g9,1
3994f595a8,http://bit.ly/dIQF3 I hope some day my mom will get this message!,1
638272e500, we just missd each otha again! I was at disney all day YESTERday!,0
8401d0072a, I apparently have crappy typing skills...lol sorry,0
352b05a450," i miss you too; i need to talk to you, i keep screwing up ..  lovee u !",1
937d903511,Okayyy  you can read it to me cause then I`ll feel special haha.,1
1df8ab717d," - l`d come if u could, but Australia is just too far away",0
5f72b7df41,Now have windows 7 up and running....very very happy  it`s got sum wicked new features http://bit.ly/jyWnz,1
e355dfb2af, nothing yet  still looking....but lets for sure do lunch next week!!,1
17029c297a,Ugh. My feet feel like they`re going to fall off.,0
734dfd272c,Only have 80  followers... So sad.,0
ffce24e081, Oh No! Oprah jumped in front again,0
b5d5c6caef,_G  ur a poopy head,0
f9fee860cd,don`t want to go to work tonight,0
bab5adefc2,"gor i am soo bored, man i don`t think i could get any more bored",0
d5233b3fc4, I`m good.,1
e41ae07da9,Twitter is useful in that it reminds people what they forgot to ask me about on a given day. It is also excellent for inspiration,0
02d9157c3e,"_juneau I did, until my parents got all f`d up and I started comfort-eating",0
b78e793bcc,Our Quinn puppy got a sick.,0
820645d39b," hi again, sorry was going to pass on your email to my assistant (Rel and Soc) and lost it. dm it to me, pls?",0
c5f383c0a0,I feel so deflated. No more doggy.,0
478c432e8b, I`m glad you liked it   Want more?,1
e093ccf86d, aww you poor thing  hope all goes well!,0
85eff5452d,People are just pisssing me offf. Ugh,0
2452a0aa6a, i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,1
ad24014a6d," yeah, but Mr. Mom`s I would say, appreciate their wives much more than the avg dad   I have a new found respect for mothers now",1
73a6c8c55e,My knee is killing me,0
365f873a4c,Happy Mothers Day to Heidi Klum,1
c37c86e838,"Spiderwoman! She`s an amazing mum, gr8 blogger, gr8 mentor & on top of that climbs walls!  http://digg.com/d1qEua -via ",1
f3d710af24," I need a hug because our pitching has been lackluster, our shortstops can`t field & Big Papi can`t get above the Mendoza line.",0
0d0ef129ba,"   Let us know what happens, poor little guy.",0
5adce8e8fc,"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can`t keep from falling for him",0
ef65c447ee,Is upset that he didn`t get his 24 fix tonight,0
952efb8ad1, ok point taken.  I`ll tell my team to stop our cynical championing of standards. Active-X is far better anyway,1
5ba1ad2348,  Morning!  Happy Mother`s Day Miz!!!  Thank you Lance!!!!,1
f786f4dc89," nope, up tomorrow  I`m tired need bed",0
0972b54c53,nice weather..looks like its going to rain here in #Delhi.,1
7b55d6ffc7," Haha, yeah. It was here and there before but now it`s constant",1
02fa5f5a0e, I use NewsFire. Works like a charm,1
e0bf107bfc,"FML, i cant loose another friend",0
2ec5126360, Nice! You should submit that to failblog.org,1
21deaed5d9," woop rehearsing songs  Yep, sounds even enough to me",1
5c364e985e,happpppy mothers day,1
90e2334eb9,awe.. gotta go.. my mom commands me to sleep already..,0
8aed647dce, :: I know the feeling  Its a little depressing :S,0
b7234b7720,"Well, my dog still isn`t at the shelter. I hope someone good has him",1
2fadd27f11," nuuuuu, i totally love may, it`s the best for me cos i was born in may",1
e5141a24eb, ur really the sweetest person ever! thanks for making everyone`s dreams come true..(p.s) my dream is for u 2twitter me back  x,1
705a3b2f84,Happy Mother`s Day to all my twitter moms (including myself),1
91b3ebad65,"_music im always blunt with my feelings, never seems to do any good",0
b6e139c70f,not at work today .i have my car back she is perfect  going random shopping later .,1
601a57c65a, Perhaps they see it as the twitter version of pulling someone`s pigtails? Let me know if that works out for you.,0
79748c507a, yeah I LOVE CALI so much,1
eed9315e21,Going to woodland hills  gna swim and drink. Makin the best of a good day. Yee,1
6a9c8b5f47, thx 4 following  r y a band? What kind of genre that y play? Nice to meet all of y,1
02be95a9e0,has has an ok day with jo. She bit me and now its bruised.,0
bfbd1996de, I envy everyone on AOTS...,1
93e3c08b4d,"I don`t want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom",0
72b11db3d1, the straightener`s another 110 pounds though. Seems pricey,0
4f0fb5c787,Enjoying d view @ sg flyer,1
c9980ac0cd, airsoft is so much fun! i play with my brothers and it`s a great bonding experience.,1
778c5660f8,Justin Timberlake and Andy Samberg do it again.. Mother Lover skit on SNL was great,1
d7a6c26e66,Thank you for the advice   I`ll work on that when Im not at work.,1
6d5edd31a4, Weather reports of a week of upper 60s make me happy  Perfect running weather!,1
ffb8ce3021," ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry",0
7d41dbe15c, ... but i could barely speak! He was probably thinking `who is the weirdo?` LOOOOL. Say sorry to him for me please?  x <3,0
0e3f632892,"i`m sorry i`m neglecting you, twitter.",0
3db7c2c604,Is there a way to block followers?  I have no idea who you are. .  Sorry..,0
9859c7d7d3,"Popping out to see SAMSON AND DELILAH this arvo, hear it is good",1
ba76e2a650,Time ticking by sooo sloooooooooowlyyyyyyyyyyyyy,0
2cf3a91b48,Bout to get ready for work ugh i hate workin on fridays,0
e4d45896f3,Brothers Bloom won`t be opening this weekend in El Paso.  I`ll just buy Brick and enjoy that until I can watch Brothers Bloom.,1
4591960200,"Yeah, it was a silly mistake. At the end of a long day, etc etc. They were brand new pliers too",0
22bac2cdb7, the second i hit reply to that tweet i was asked to stop playing music.  i am now sad. someone sing to me. on or off key works!,0
efbd798924, Always welcome sweetie! *HUGS*,1
c2c5b285b9,Shared Kim HÃ¯Â¿Â½ltermand - Portfolio: Shared by Kaare Finally a dane  IÃ‚Â´ve got the honor to do the amazing.. http://tinyurl.com/coypsl,1
e468a185dc,oh yes! Level 40,1
e533dc15ce,Phew long day and i havent gotten to work yet,0
f7c24445ff,Finally got my money. Too bad it goes to bills,0
d1f2b0c2a1,"I have a 4-H lamb meeting. It should be fun. And it is sunny! Yay! I can play with my horses this afternoon. Clap, clap, clap!!!",1
8140f3d608,At TGC concert  good to see old friends and remember the old times!,1
cb94d59699,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   <3",1
7bb1247eb5, my internet is being a ***** again!!! wtf. i think im gonna sleep afterward. internet is driving me crazyyy!,0
a862c3b17c,I don`t believe there`s anything worse than losing a best friend,0
9f050c0452,'your true theatre calling? - musical theatre actor'  i wish :`( ****,1
67a5d0a19c," dude, was that you in the new Star Trek Burger King commercial? Bud Light AND Burger King? So proud of u man.",1
c11a949adf,had such a fun time with allegra tonite!!! we saw 17again!! good movie,1
a91ae520ff,at BIF.... i love this buliding....,1
28062f7baa,Grass fed beef burgers with sauteed mushrooms and cheddar on wheat buns along with a salad. Yum. Poor Kim still isn`t feeling well,0
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",0
6416bec5a1,happy mothers day!  <3,1
28013de754,watching my tiny nephew  perfect baby,1
e5af32e35c,"I am going to work than, ill be home, and im going to look for my camera since it must be lost in my house. everyone have a wonderful day",1
2003e360f8,I`m trying to find the driver for my Microsoft Lifecam VX-3000 Webcam and can`t find it anywhere! anyone have any links?,0
92f9c51213,Toris was SO fun! JB MOVIE WAS ABSOLUTELY AMAZING! and i had a good day at work!  YAY i loved the movie! :0,1
1b6414112c, dope background,1
b9953ea873,Happy Star Wars Day! May the Fourth be with you.,1
c0ac6ef8fb,ughhh rejected from the 09 mediation program. SUCKSSSS.,0
025e320308,Need some coffee... Getting serious withdrawal symptoms,0
51a6cbb388,I think I`m about to break my own heart. (as emo as that sounds)... meh.,0
eecbfcf3a8," hey thought ud be on here most likely, im stressed out  i really dont know why  x",0
50356857dc,Is sooo waking both of them up on my way back to SB  good night america,1
923295751d,"I think my bicycle and I just freaked out a custodian, who wouldn`t have let me in the building if I didn`t let myself in with a key",0
1cd1124aac, I used to love you lol...so awesome...I knew you`d have an 'experience' last night,1
d68dcfb548,I`M FEELING GREAT!,1
4d05d59122, inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,0
98712d81a5,Just got a new Ipod.  Life`s Good.,1
6a2aae1814,"Happy Mother`s Day, amma!  I made u cake, remember? U loved it!",1
2f42dff0dd,school for a bit. glad jake got the day off,1
db75031d55, I can remember those Evidence Based Management lectures...definitely the best of EBM,1
c18377388a, sounds nice   have you downloaded twitterena 2.0 lol ?,1
589aae6fa5, People from England can watch this one  Thankyou,1
a279f47956,Smores plus jacuzzi equals amazing,1
1597b9831b,I miss him  ARGH,0
5eabb3139b,Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad,0
3fe6f7f128,Is not a happy bunny,0
40c138306d,there are some really scary noises coming from outside,0
42385b0ddf, i won`t make u cry,1
8d623622d0,Starting my 2nd shift! Im going to miss like an hour of the lakers game!,0
0a61cbf4b5,I am sooo tired,0
46eae5a601, yes i am and i was ready to go when i got here. ugh  and its sooo pretty outside..,1
d12ef9784f," hah yeah, its that bad, not gonna lie. :o Have fun",0
54acae24bc,No one wants to sit with me at lunch  I guess I`ll just bury my head in my laptop and continue to be anti-social.,0
9e9a89a2d7,Back at home. At the moment IÃ¯Â¿Â½m speaking to my aunt on the telephone and Darius is neighting in the backround... Miss my little horse,0
49e457b58b,LOVING the hot weather forecast for the rest of the week!!!!  Summer is almost heeeeere,1
175145f5c8,star treeeeek?! only one hot guy there  and i get to watch him do his hot stuff woo.,1
2bb78da7ad,I should`ve known something would go wrong. The van is having problems. Oh please tell me it will not cost us an arm and a leg,0
f35cc8bb35,_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,0
23ec13a42c, lol. i get about the same reaction when i mention my new goal - kona triathlon now that boston marathon is done.,1
aba2930fee," Oh, sweetie, I`m so sorry.  That`s the last thing you needed right now. *hugs*",1
bac11ddc14,  i know. it sucks,0
5a8a037059,"Poor Greg  stupid UK, always doing the sympathy vote. xo",0
b6f66e0621," The Star Trek in IMAX wasn`t in 3D, but it was huge on the screen.  Still worth watching.",1
337ebe2747,FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF<3,1
ea1b1fd1bb,Mudweight hauled in for last time by   http://yfrog.com/0zr2jqj,0
5af0e5787e,I always forget how much fun kyle is!,0
5b1ef93aee,Farewell dinner with my kimmy. Last time i`ll see her in a while,0
90944c6528,god opened the clouds and said i hate you josh,0
16a6367f10,can`t sleep... havent finish my homework  **** IT !,0
34e7adab1a, thanks kelly! that means a lot.  have you figured out your apt thing yet?,1
d83fd6c942,3 tweeets {:    FGS tweekdeckkk hates me  -cryyyy,0
ffbae98f62,my stomach is bleh!,0
610f807443, hahaha thaanks!  iÃ¯Â¿Â½m from brazil!,1
3c6723fa1b, how are you gonna get them? I got bitten,0
19e66b7b96,"Going out to down town with a friend, long time haven`t seen him...OKOK.. i am feeling fresh again",1
001e034570,SO BORED.,0
cf6cc32d31,well going to sleep peoples!! night all twitterers!! loves ya!  *Welcome Home*,1
01c6e1adf4,i am very very tired,0
803996a09e,Just lost Internet.  And I was in a raid for 25 OS.,0
17ebc1d633,I`ve had a sore throat since monday morning ...I`m just sick of it hurtin and I want some freakin sleep!,0
2db64de360,wow...you leave facebook alone for the weekend and get 60 new notifications. WHEW!,1
38c3dee100, I LOVE pb & banana sandwiches!! Still a fav of mine,1
3b9fe0f1e2, IÃ¯Â¿Â½m sorry for that,0
b154644954,Ohhhhh Barcalona. Please dont ruin this  #bgt,1
4e077ecdc0,KICKIN BAK......NEED 2 DO MY HW.....I MISS U BABE  LOLZ,0
ff354645af, Am happy to provide backup support for all murderous rampages,1
282b4bc5b5," - yay for getting errands done! oh, an assortment of out-of-my-control things. topped off w/ a **** race, haha",0
56e5e02e92, a great song by East Clubbers,0
37fc54fac7, whaaaaaat? oh no! why didn`t I know you were here?,0
0d131a8c9d,BGT!!!!!!! - Will be gutted when it finishes tomorrow  - Stavros Flatley all the way!,0
d7b5f796b9,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,0
f184a46ae4, Good luck tonight! have fun,1
196a880f90,  im going to my inlaws tonight.  hopefully my new niece will be there!  who needs kids when my inlaws have them all for me!,1
c994907abb,"  We were in Lindos, and it absolutely ruled. Will post some pictures somewhere, some time. Back to work today",1
85bd4a3db0," i dont even have a WII! b likes xbox, so that`s what we have  do you use it?",1
8cf31cdbf9,Fast & Furious = EXCELLENT movie.  And Andy is a great guy   Most of the time....  lol,1
cc74409945,Hates bleech!! Messed up my black outfit,0
a0d93a9442,Watching 5 children and it.  i really should be studying. I`ll start soon :[,0
1e8fe80d40, I made my parents add u guys on the family myspace...they were impressed by the song.,1
0021d708e3, sorry about that anna wintour repeated tweets!! sooo sorry  somethings up... | was wondering abt the quad tweet ;),0
52a7198645," true, depends on the couple  Personally we`ve found adding more has increased the fun & increased our bond",1
7c3ab1edc8,sees the finish line disappearing in a plethora of emails!!!    WAH!,0
c70c2e2336,michael scholfield is no more. He is dead. I am sorry,0
bc0e5470c3,To lose this gut lol no seriously i have gained a lil and im not liking how it looks.,0
669d9f0673, I`m afraid not much  I just realized the true difficulty of this design. I may cry soon. #idmfinal,0
200a42bce3,OMG... I just learned that the little girl who played Ducky in the very first Land Before Time movie was murdered at the age of 10. WTF?,0
18eba56565," noboby`s behind. I think I lead with $14,8 so far",1
a70e0f6bac,home sweet home? i think no! huaaaa,0
ec2ace4113,Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable,1
655b313866,"whaaay, first day on my own tomorrow. this should go well",1
4841c80d3c,About to go to my last theater lunch  im gonna cry.,0
da3d86d018,_a_michael CUTE  thanks for sharing! AND PLEASE Direct Message ME before you go to bed James ;) ;) you know you want to!,1
ae1d5afeb5, aww way to make me feel special,1
4ac0d18d0b," MISS YOU, TOO!",0
50b353f751,Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.,1
5ac55658f1, I heard your moving to Sydney next year im not happy,0
600ba5fe50,happy mothers` day to all your moms!,1
467ee583c9," Thanks! I downloaded the trial version of Stuffit, and it worked. Good advice.",1
8d54cdf987, I have been to Tara Thai a few times for friend`s birthdays and the food I had was pretty bad.,0
5d06309a9e, apologies don`t fix hurt feelings kev.  anyway i`ll get it from u next time I c u.,0
97c972509b,"this sucks i`m tweetless...and i f`n hate money, why does it have to be an issue",0
898c63c69f," I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",1
2942f7e054," I love this!!  our body should tell us how much sleep it needs, and its always good to be mindful at mealtimes",1
7b7f18512a, they just said she was very elusive; should be tricky,0
dd42264db1,"great photoshoot today with Chris Ryan of Rolling Stone, Keegan Smith & the Fam may be opening for DAVE MATTHEW`s BAND THIS SUMMER!  EEK!",1
7f927df185," I did do that one Twitter while driving, although the iPhone keypad sucks for driving and typing",0
356fce670b, I wish I could have time for my xbox  project all tied,1
893c270d85,im bored.. RC is goin maintenance,0
127ee02f19,tonight was a very bad night,0
2baf5b012b,Gonna miss the girlys soo super loads! Wish I wasn`t going for 3 weeks! It`s wayy to long,0
ae62b7e944, Thanks very much for the #ff  ! My only one today,1
dea4e6fcd4,I miss my cousin so much,0
e807ce8289,Moving today!!  I`m so excited!,1
5a7c476187,I really ain`t woth a ****. I can`t do anythin right.   What`s wrong with me?,0
f2e213b4f8,"TGIF I don`t like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",0
91e38cd36a,im @ the eye doctors & had to bring trinity with me cause my mom fell down the stairs today & broke her toe. ugh,0
700c41e7c0,AP: North Korea could opt for devastating land assault... http://tinyurl.com/nmg9ht (via _Report) Scary talk to say the least.  mm,0
a9d7df2b3f,gosh it`s anoher cloudy day  wish they would go away.. or rain..,0
